cd_ibge,prob_risco,y_true
2705804,0.015230383669087539,0
2700201,0.02585540119477993,0
2700201,0.03244684042947293,0
2700201,0.020010411499798233,0
2700201,0.045267640607667504,0
2700201,0.024566505510222006,0
2700201,0.026546878851647738,0
2700201,0.027356100601306315,0
2700201,0.0394779476323339,0
2700201,0.029316990484169272,0
2702504,0.023083040074833534,0
2702504,0.0386973817821962,0
2700300,0.021850613648637125,0
2700300,0.02536004120934581,0
2700300,0.013936766423731093,0
2700300,0.09853907765664852,0
2700300,0.050229373960771956,0
2704104,0.04354043784439777,0
2704104,0.010413537296366284,0
2704104,0.006860011793829671,0
2706307,0.0468772569880487,0
2706307,0.07574713381213914,0
2706307,0.047772623323737454,0
2706307,0.14160647799125836,0
2706307,0.06892927097193503,0
2706307,0.04691009520607488,0
2706307,0.06226121687170363,0
2706307,0.04434371099245716,0
2706307,0.16195899208191736,0
2706307,0.0908650813480603,0
2707206,0.01524779228261659,0
2707206,0.016027542655840086,0
2704609,0.03266709710224276,0
2704609,0.02754855573233164,0
2704609,0.28546204934430874,1
2704609,0.38389159509257403,1
2704609,0.06791711432731617,0
2704609,0.08023450516834484,0
2704609,0.05286898291434609,0
2704609,0.11705863960016076,0
2704609,0.09140992422268507,0
2704609,0.29868871803452274,1
2704609,0.30007962481408995,1
2704609,0.2399542618234759,1
2704609,0.2533051690075655,1
2704609,0.04117580874698026,0
2704609,0.03102677764042136,0
2702405,0.13794873373317415,1
2702405,0.21803540344565456,1
2705309,0.014652189721483376,0
2705309,0.015165419108718865,0
2705309,0.013462840243366468,0
2705309,0.013462840243366468,0
2705309,0.021998645788259507,0
2705309,0.01646704700596295,0
2705309,0.04060330521382274,0
2705309,0.005898678621255279,0
2705309,0.007581785476057353,0
2704609,0.08506262720845187,0
2704609,0.26673786367414765,1
2704609,0.27187142072231524,1
2706307,0.05617628388659017,0
2706307,0.05191387427430376,0
2706307,0.05442954403382167,0
2703106,0.03177994751722164,0
2703106,0.04275848505798626,0
